Name                                  ,Code     ,Type ,SubBasin ,City                ,State     ,Responsible  ,Latitude ,Longitude ,StartDate  ,EndDate    ,NYD ,MD   ,N_YWOMD ,YWMD
MACUCO                                ,02349055 ,   2 ,      64 ,CERQUEIRA CESAR     ,SÃO PAULO ,DAEE-SP      ,-23.15   ,-49.1833  ,1971/11/01 ,2000/12/19 , 30 , 0.5 ,     26 , 13.3
FAZENDA ITAPUA I                      ,02349067 ,   2 ,      64 ,ARANDU              ,SÃO PAULO ,DAEE-SP      ,-23.1833 ,-49.0333  ,1978/06/01 ,2000/12/19 , 23 , 1.0 ,     15 , 34.8
UHE CHAVANTES ITAPORANGA              ,02349068 ,   2 ,      64 ,ITAPORANGA          ,SÃO PAULO ,PARANAPANEMA ,-23.7331 ,-49.4303  ,2012/01/01 ,2012/08/30 ,  1 , 1.6 ,      0 ,100.0
UHE JURUMIRIM FAZENDA AGROLIN         ,02349074 ,   2 ,      64 ,ITABERÁ             ,SÃO PAULO ,PARANAPANEMA ,-23.7786 ,-49.0542  ,2012/01/01 ,2012/12/31 ,  1 , 1.1 ,      0 ,100.0
UHE CHAVANTES FAZENDA SÃO JOÃO        ,02349076 ,   2 ,      64 ,RIVERSUL            ,SÃO PAULO ,PARANAPANEMA ,-23.8517 ,-49.395   ,2012/01/01 ,2012/12/31 ,  1 , 1.1 ,      0 ,100.0
UHE CHAVANTES PIRAJU JUSANTE          ,02349077 ,   2 ,      64 ,PIRAJU              ,SÃO PAULO ,PARANAPANEMA ,-23.1792 ,-49.3922  ,2012/01/01 ,2012/12/31 ,  1 , 0.0 ,      1 ,  0.0
UHE PIRAJU JUSANTE                    ,02349078 ,   2 ,      64 ,PIRAJU              ,SÃO PAULO ,CBA          ,-23.1603 ,-49.3786  ,2014/09/24 ,2017/12/31 ,  4 ,20.5 ,      0 ,100.0
USINA TURVINHO                        ,02447001 ,   2 ,      64 ,SÃO MIGUEL ARCANJO  ,SÃO PAULO ,DAEE-SP      ,-24.0    ,-47.95    ,1936/10/01 ,2013/08/31 , 78 ,13.7 ,     57 , 26.9
TAQUARAL                              ,02447007 ,   2 ,      64 ,SÃO MIGUEL ARCANJO  ,SÃO PAULO ,DAEE-SP      ,-24.05   ,-47.9997  ,1960/09/01 ,2014/11/30 , 55 , 1.5 ,     43 , 21.8
BAIRRO DO CERRADO                     ,02448002 ,   2 ,      64 ,CAPÃO BONITO        ,SÃO PAULO ,DAEE-SP      ,-24.0167 ,-48.2667  ,1961/07/01 ,2001/01/31 , 41 , 2.1 ,     35 , 14.6
USINA SANTA MARIA                     ,02448003 ,   2 ,      64 ,ITAPEVA             ,SÃO PAULO ,DAEE-SP      ,-24.0167 ,-48.7167  ,1939/09/01 ,1999/01/31 , 61 , 1.9 ,     54 , 11.5
